group,names,scores,logfoldchanges,pvals,pvals_adj
iEC,CG5262,-0.37709278,-0.25621778,0.7061046596082938,1.0
iEC,CG9399,-0.3771637,-0.45805436,0.7060519464083587,1.0
iEC,CG17734,-0.37777552,0.036961336,0.7055973536207363,1.0
iEC,Rcd4,-0.37916765,-0.1908614,0.704563382031283,1.0
iEC,CG13896,-0.3792563,-0.21920007,0.7044975424336707,1.0
iEC,Dbp73D,-0.37927404,-0.1313346,0.7044843747798192,1.0
iEC,CG7246,-0.38007206,-0.17834419,0.7038919220753292,1.0
iEC,CG13258,-0.38118044,-1.7293311,0.7030693692257562,1.0
iEC,CG9777,-0.3813223,-2.108672,0.7029641075256319,1.0
iEC,GABA-B-R2,-0.38175678,-0.8275675,0.702641778999597,1.0
iEC,l(2)k14505,-0.38204053,-0.43721193,0.7024313075901552,1.0
iEC,eg,-0.38222674,-0.21807238,0.7022931981252594,1.0
iEC,CG31467,-0.38243067,-1.3311831,0.7021419466561782,1.0
iEC,PPP1R15,-0.38307795,0.02265176,0.7016619658062584,1.0
iEC,RhoGAP54D,-0.3837962,-0.053483427,0.7011295236008499,1.0
iEC,CG13021,-0.38409764,-23.116829,0.7009060730551496,1.0
iEC,CG14646,-0.38420406,-0.14545928,0.7008272143331135,1.0
iEC,Rrp45,-0.3842218,-0.29764944,0.7008140715261707,1.0
iEC,Culd,-0.38423064,-0.975334,0.7008075001562808,1.0
iEC,CG7379,-0.38487795,-0.08382735,0.7003278506535675,1.0
iEC,CG43255,-0.38516167,-1.9035493,0.7001176309934747,1.0
iEC,rtet,-0.38527694,0.0150905885,0.7000322358178318,1.0
iEC,CG17202,-0.38575578,-0.023902262,0.6996775580011136,1.0
iEC,CG1544,-0.3863144,-0.7642833,0.699263850010633,1.0
iEC,Rpn13R,-0.38755575,-3.2726324,0.6983448186866305,1.0
iEC,CG3223,-0.38791043,-0.46388352,0.6980823194466952,1.0
iEC,LSm7,-0.38882372,-0.00283219,0.6974065501927267,1.0
iEC,FANCI,-0.38922274,-0.110451624,0.6971113864803822,1.0
iEC,p47,-0.38932028,0.0073567075,0.697039242320874,1.0
iEC,Mtr4,-0.38948876,-0.080529064,0.6969146361345167,1.0
iEC,Papss,-0.38970155,-0.2910465,0.6967572505335013,1.0
iEC,CG10874,-0.39026016,-0.21884613,0.696344175443457,1.0
iEC,CG3552,-0.3903045,-0.7512564,0.6963113955614304,1.0
iEC,Spn31A,-0.39088085,-0.9248141,0.695885308731852,1.0
iEC,CG13711,-0.3910848,-2.4670794,0.6957345625295518,1.0
iEC,CG5805,-0.39252123,-0.695131,0.6946731258003213,1.0
iEC,CG1674,-0.39345226,-0.47905016,0.6939854770021092,1.0
iEC,CG1824,-0.3934966,-0.15606858,0.6939527380992228,1.0
iEC,CG3368,-0.39396656,0.043690197,0.6936057408531728,1.0
iEC,TTLL15,-0.39431235,-0.580933,0.6933504442799314,1.0
iEC,TBCB,-0.3948355,-0.15782626,0.6929642925580434,1.0
iEC,CG10338,-0.39587292,-0.56084454,0.6921987700403183,1.0
iEC,Mtmr6,-0.3958818,-0.069953054,0.6921922284665918,1.0
iEC,PIG-K,-0.3975399,-0.1237725,0.6909693582880145,1.0
iEC,mnd,-0.39769065,0.022850506,0.6908582281867881,1.0
iEC,Vlet,-0.39815173,-0.7340073,0.6905183421807493,1.0
iEC,CG9304,-0.39830247,0.017680075,0.6904072391314531,1.0
iEC,Ufl1,-0.39852414,0.03230874,0.6902438644122616,1.0
iEC,Map60,-0.39862168,0.025711283,0.6901719841075498,1.0
iEC,CG14089,-0.39918917,-2.3433623,0.6897538268750978,1.0
iEC,Top3beta,-0.3996591,-0.028213369,0.6894076121079404,1.0
iEC,CG5174,-0.39980984,0.09427094,0.6892965758575811,1.0
iEC,Wdr59,-0.40091822,-0.3475184,0.6884803384714245,1.0
iEC,CG6574,-0.40110442,-0.90366375,0.6883432461456258,1.0
iEC,bab1,-0.40114877,-0.60233206,0.6883106066246372,1.0
iEC,Cyp6a17,-0.40155664,-23.173906,0.6880103502746513,1.0
iEC,mRpS18A,-0.40251425,-0.11547924,0.6873055939134837,1.0
iEC,Prosbeta3,-0.4027448,-0.012849467,0.6871359708879745,1.0
iEC,LKRSDH,-0.40283346,-1.1513889,0.687070735455773,1.0
iEC,Dyro,-0.4032236,-0.061682418,0.6867837272414605,1.0
iEC,caup,-0.40324134,0.105817266,0.6867706824859761,1.0
iEC,RhoGEF4,-0.4033655,-0.06364922,0.6866793718097027,1.0
iEC,RAF2,-0.40418124,0.030308316,0.6860794440185185,1.0
iEC,SoYb,-0.40452707,-0.21175367,0.6858251864724139,1.0
iEC,INPP5E,-0.40487286,-1.3818218,0.6855709644918079,1.0
iEC,Tsr1,-0.40652213,0.07268822,0.6843590112771568,1.0
iEC,ash2,-0.40688565,-0.07894739,0.6840919694643964,1.0
iEC,Taf2,-0.40733787,-0.015683113,0.6837598506290414,1.0
iEC,edin,-0.40782556,-1.2584957,0.6834017518159432,1.0
iEC,Rrp6,-0.40881866,-0.033319432,0.6826727526559788,1.0
iEC,GstO1,-0.4091822,-0.15602279,0.6824059608499291,1.0
iEC,Ranbp21,-0.4093418,-0.025805159,0.682288845273698,1.0
iEC,pkaap,-0.40956348,-0.12547769,0.6821261974447329,1.0
iEC,CG7900,-0.41019303,-0.95435417,0.6816643581487878,1.0
iEC,CG10914,-0.41084918,-0.5249528,0.6811831314321384,1.0
iEC,cbs,-0.41200188,-0.21929926,0.6803380473445562,1.0
iEC,Dpit47,-0.41297725,-0.07850997,0.6796232895567738,1.0
iEC,SmydA-7,-0.41340286,-0.34750268,0.6793114854244633,1.0
iEC,Dic1,-0.41365114,-0.022936126,0.679129625010854,1.0
iEC,Cmpk,-0.4142718,0.07421447,0.6786750557041814,1.0
iEC,Der-2,-0.41428068,-0.17339346,0.6786685627033051,1.0
iEC,CG15547,-0.41471517,-0.4235326,0.6783504348865299,1.0
iEC,Mmp2,-0.41538903,0.03276189,0.6778571255605759,1.0
iEC,CG6961,-0.41742843,-0.23219858,0.6763650577073748,1.0
iEC,Rint1,-0.41791612,-0.3153245,0.6760084467890457,1.0
iEC,Nca,-0.41823533,-0.24785209,0.6757750680807894,1.0
iEC,Vps13B,-0.41838607,0.061415724,0.6756648722971093,1.0
iEC,gry,-0.4187496,-0.04080869,0.6753991345906425,1.0
iEC,CG7376,-0.4190245,-0.21097618,0.6751982378125445,1.0
iEC,gcl,-0.42010626,-0.08343403,0.674407836610329,1.0
iEC,Es2,-0.42164022,-0.95291847,0.673287637659016,1.0
iEC,CG11752,-0.42187077,-0.26492798,0.673119346612977,1.0
iEC,CG30187,-0.42252693,-1.5326488,0.6726404540118189,1.0
iEC,sqa,-0.4228284,-4.139615,0.6724204667747862,1.0
iEC,CG32590,-0.42287272,-0.6347858,0.6723881180751325,1.0
iEC,CG11899,-0.42329836,0.00879263,0.6720776014230075,1.0
iEC,CG2962,-0.42391902,-1.8753175,0.6716248649220817,1.0
iEC,CG2061,-0.42461064,-0.22078887,0.6711205274180732,1.0
iEC,CG1236,-0.42509833,-0.1515728,0.6707649938322819,1.0
iEC,Art3,-0.42539093,-0.12399709,0.6705517090518419,1.0
iEC,Pgant3,-0.42553282,-0.07031473,0.6704483078040666,1.0
iEC,mRpL39,-0.4256392,-0.2718694,0.6703707609645979,1.0
iEC,CG30491,-0.4256481,-0.3499347,0.6703642988864918,1.0
iEC,Blm,-0.42649043,-0.11824731,0.6697505127400192,1.0
iEC,CG5196,-0.42713773,-0.057166927,0.6692790163205502,1.0
iEC,CG15387,-0.42924806,-0.16405351,0.6677427148591796,1.0
iEC,CG40472,-0.42957613,-1.1555144,0.6675040028726358,1.0
iEC,CG11980,-0.4304096,-0.09743462,0.6668976967366336,1.0
iEC,roh,-0.4312165,0.10341935,0.6663109479618745,1.0
iEC,adp,-0.4315978,-0.7502534,0.6660337640418259,1.0
iEC,COX5A,-0.43228942,0.040097266,0.6655310817293958,1.0
iEC,CG7650,-0.4326175,-0.5722041,0.6652926823986972,1.0
iEC,PolG1,-0.43281257,-0.2454957,0.6651509474836088,1.0
iEC,nxf2,-0.43300763,-0.38959077,0.6650092245346666,1.0
iEC,Lcp3,-0.4335574,-1.6476686,0.6646098879144445,1.0
iEC,CG15282,-0.43375245,0.07533423,0.6644682106947228,1.0
iEC,CG4045,-0.4343022,-0.23861031,0.6640690030377028,1.0
iEC,Fdx2,-0.43476328,-0.43318984,0.6637342571934209,1.0
iEC,Rca1,-0.4353751,-0.20775099,0.6632901788029286,1.0
iEC,cbc,-0.43621746,-0.7442259,0.6626789600743466,1.0
iEC,Lrrk,-0.43678495,-0.099141605,0.6622673182412209,1.0
iEC,CG11438,-0.4374677,-0.100595586,0.6617721968796287,1.0
iEC,JMJD6,-0.43807065,-0.012098389,0.6613350697881866,1.0
iEC,S6KL,-0.4386204,-0.016539158,0.660936613346204,1.0
iEC,GlcAT-I,-0.4398263,-0.15229703,0.6600629164866423,1.0
iEC,CG8483,-0.44034058,0.03803417,0.6596904513296108,1.0
iEC,CG11414,-0.44094354,0.08059443,0.6592538754517303,1.0
iEC,CG30156,-0.4409524,-1.7234418,0.6592474560838202,1.0
iEC,mRpL38,-0.44106767,-0.18299463,0.6591640065851447,1.0
iEC,CG17361,-0.4413603,-0.6316857,0.6589521922985603,1.0
iEC,Smyd3,-0.4418923,-0.34395775,0.6585671455024278,1.0
iEC,CG32576,-0.44196323,-0.3511227,0.6585158127663369,1.0
iEC,CG8778,-0.44214058,-0.4127629,0.6583874879672514,1.0
iEC,CG5516,-0.4426903,-0.10196853,0.6579897450445413,1.0
