source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
KEGG,KEGG:00232,Caffeine metabolism,0.002368351303474799,True,Caffeine metabolism,6,10,2,3541,0.2,0.3333333333333333,query_1,['KEGG:00000']
GO:CC,GO:0062130,adhesive extracellular matrix,0.0029840827970082097,True,"""A extracellular matrix which attaches an organism to a substrate."" [GOC:dph, GOC:ha, PMID:825230]",8,81,3,12142,0.037037037037037035,0.375,query_1,['GO:0031012']
GO:BP,GO:0007594,puparial adhesion,0.017956885337510445,True,"""The adhesion of the puparia of Diptera to their substrate; normally effected by a 'glue' secreted by the larval salivary gland and expectorated at the time of pupariation."" [GOC:ma]",8,80,3,11686,0.0375,0.375,query_1,"['GO:0007591', 'GO:0022609']"
GO:BP,GO:0022608,multicellular organism adhesion,0.017956885337510445,True,"""The attachment of a multicellular organism to a substrate or other organism."" [GOC:isa_complete]",8,80,3,11686,0.0375,0.375,query_1,['GO:0032501']
GO:BP,GO:0022609,multicellular organism adhesion to substrate,0.017956885337510445,True,"""The attachment of a multicellular organism to a surface or material."" [GOC:isa_complete]",8,80,3,11686,0.0375,0.375,query_1,['GO:0022608']
GO:BP,GO:0003008,system process,0.026442421495126447,True,"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]",722,80,16,11686,0.2,0.0221606648199446,query_1,['GO:0032501']
GO:BP,GO:0007600,sensory perception,0.03192901211597328,True,"""The series of events required for an organism to receive a sensory stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."" [GOC:ai, GOC:dph]",426,80,12,11686,0.15,0.028169014084507043,query_1,['GO:0050877']
