source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0007594,puparial adhesion,8.811598763984406e-07,True,"""The adhesion of the puparia of Diptera to their substrate; normally effected by a 'glue' secreted by the larval salivary gland and expectorated at the time of pupariation."" [GOC:ma]",8,83,5,11686,0.060240963855421686,0.625,query_1,"['GO:0007591', 'GO:0022609']"
GO:BP,GO:0022608,multicellular organism adhesion,8.811598763984406e-07,True,"""The attachment of a multicellular organism to a substrate or other organism."" [GOC:isa_complete]",8,83,5,11686,0.060240963855421686,0.625,query_1,['GO:0032501']
GO:BP,GO:0022609,multicellular organism adhesion to substrate,8.811598763984406e-07,True,"""The attachment of a multicellular organism to a surface or material."" [GOC:isa_complete]",8,83,5,11686,0.060240963855421686,0.625,query_1,['GO:0022608']
