CG11598
CG1647
CG7794
ND-49L
Drice
CG4783
CG11837
LpR2
beat-IV
meigo
CG8066
slmb
CG7131
CG6126
CG7694
jdp
Skp2
betaTub97EF
Dl
CG31415
GC2
SpdS
pxb
sp3
ppan
peg
Irc
Fer2
Atg13
CG43131
Polr1H
CG10098
Tim17b
ClC-a
CG43117
SKIP
CG18528
CycG
CG42675
PolQ
CCT1
CG14853
CG5466
alpha-Est10
Cby
CG12877
CG31437
Syt4
CG7006
Yif1
Ets96B
E(spl)m3-HLH
Dtd
Cyp9f2
ncd
CG9801
CG6937
CG14327
mRpL19
CG42544
CG14609
Usp1
CG5641
alpha-Man-Ic
CG10694
AOX3
pll
Vps2
CG9399
Nmdar1
vib
abs
msps
Med
Esyt2
CG4393
CG10184
CG31223
mld
Octbeta3R
Nuak
CG9590
Unc-115a
CG1124
MED31
Gr85a
Aduk
Bili
Exo84
Atg17
Rel
CG7800
CG8064
tmod
Osi14
MtnA
Obp85a
CG5225
htl
Clbn
CG5071
CG16736
aus
CG10041
CG10898
Or85f
Takl2
Dop1R2
CG18622
Cad86C
kat-60L1
CG2846
CG31051
ich
tefu
CG8500
Spn100A
kuk
CG31407
wfs1
Sas-6
Karybeta3
pre-mod(mdg4)-J
CG4210
Osi15
CG31076
E(spl)mgamma-HLH
EMC2A
beat-VI
f-cup
mRpS21
CG34299
CG1142
Cad87A
CG12951
Brf
Cenp-C
eIF3d1
CG9356
Spec2
Dhc98D
Ccm3
CG5823
CG10232
Pli
MED25
Mcm2
mRpL40
TrpRS
CG31122
shps
Adgf-C
nAChRbeta2
CG10254
Mpi
CG14731
beta4GalNAcTB
Polr2B
Nepl20
CG31103
CG15546
CG5862
CG4360
Npc2f
Efa6
Prp39
Tl
CG34148
CG12885
CG3308
CG5039
CG11786
tok
MED7
JMJD6
Polr1E
PolE1
Golgin84
CG45078
CREG
CG14545
CG1208
CG31156
spartin
Ser
CG34276
Tengl4
Kyat
eIF3f1
Mettl3
dan
CG9804
bocks
Nlp
mTerf5
CG31337
Rpn2
E(spl)mdelta-HLH
eIF4EHP
Cad96Ca
CG31404
glob1
CG3744
TAF1B
CG5934
CG2246
RPA1
CG5639
alpha-Est2
nom
CG15529
CG17202
RabGGTa
CG13842
CG15536
danr
Dtwd2
Trc8
CG11899
Mat89Ba
dpr9
Ns1
Dcr-1
wda
5-HT2A
mRpS22
osy
CG3223
Pcmt
Nup58
CG42342
MAGE
Sf3b5
bnl
HDAC11
Mdh2
CG31528
CG46270
Arpc3A
CG2321
gskt
vig2
Kcmf1
Polr2M
nAChRalpha1
CG10185
Ufl1
Spps
Abd-B
Parp
CG8036
CG6425
SmD2
lds
Rab11
CG31381
Ino80
Tpi
CG1234
CG31098
Pglym78
alphaTub84B
GstD10
mora
Or83a
CG15545
CG9776
mRpL32
Kdm3
CG7069
Unc50
Hmgcr
CG31100
CG5938
CG12948
Myo95E
CG14662
CG10208
CG8925
Desat2
kek6
P5cr
TBC1d7
Cdk2
CG1635
CG4287
CG2931
CG18599
Lgr3
GluClalpha
CG14383
alt
SNF4Agamma
wdb
Prosbeta3
Scgbeta
pros
Epg5
pug
CG4820
CtsF
janB
agt
CG14253
eIF1A
Archease
Cdc16
Alp5
Ets97D
Moca-cyp
CG8312
cic
CG16790
CG6454
Vha55
PyK
CG17121
CG6695
CG18596
CG7567
tau
flfl
CG14309
CG6325
CG5276
l(3)mbt
CG18549
EloB
CG4553
CG6006
CG17931
Ythdf
CG31029
cu
RagA-B
CG13625
atl
CG12256
CG15563
CG17919
GlyS
ymp
Gel
HP1e
CG5555
CG14507
mtg
neo
prd1
snu
Vps15
CG14710
lsn
veli
CG8478
CG15514
CG43060
MED28
Ir93a
AOX1
Act88F
CG9922
Vps13B
CG32939
pnr
CG31140
TwdlF
Gnf1
CG1116
Slu7
tx
CG3817
CG10425
Lkb1
Idh3b
TTLL15
CG31019
mesh
CG12224
GatB
Polr3C
CG12499
Gr93c
CG31321
Ibf1
CG4467
sba
CG5882
CG2150
cno
CG34133
ImpE3
CG5521
Rbp
ZIPIC
CG31523
sea
Nct
CG13599
CG3339
unc-45
Npl4
Cap-D2
pre-mod(mdg4)-B
CG34353
CG12945
dysf
CG42500
Smyd5
Spt3
CG31373
elm
AdamTS-A
Ada2b
CG7886
Dip-C
Mrm2
Ubx
scrib
SdhC
Gos28
CG12071
EMC6
c(3)G
CG31342
CG11779
CG34150
Polr3F
Ipo9
CG1523
DNAlig3
CG7985
Prat
mRpS18A
CG12947
jvl
Ugt35D1
janA
CROT
Mic26-27
CG10340
mah
Acf
bumpel
CG31287
osa
CG5516
Dys
Atu
BBS5
CG1307
Npc2g
Abi
Cmpk
mtd
Tsp97E
spg
fabp
CG46280
NPFR
Fmr1
mAcon2
CG4408
polybromo
Act87E
Vha14-2
Mur89F
CSN6
Cpr97Ea
Irk1
spdo
CG7168
CG4362
CG8861
CG31272
gzl
Tnks
Gnpnat
E(spl)m4-BFM
CG14252
yrt
CG34149
LSm3
Nop56
alpha-Est7
Rfx
pum
CG31109
lili
P5CDh2
CG31365
Sym
ArgRS-m
Tctp
CG41099
CG5478
Etfb
tex
e(y)2b
CG7903
His4r
myd
rump
fd96Cb
trbd
eater
CG17186
CG7183
CG8112
Gasp
Zip89B
Past1
CG12883
CG14655
Tim17a2
Lsd-1
subdued
AdoR
kibra
sle
CG12402
Ibf2
rdog
Rbp1
kkv
CG33107
RpS29
CG8516
CG11498
CG2006
CG5217
PH4alphaMP
C15
Trm7-32
Dlc90F
SppL
CG1971
CAH7
CG5608
RpL34a
CG43845
CG9795
CG5245
Gld2
lab
CG15506
CG5805
CG34293
CG8927
Sirt7
CG7943
tld
Hpr1
BCAS2
mRpL55
Aos1
Snm1
pre-mod(mdg4)-H
Det
CG33096
CG31454
Cchl
CG42359
tin
CG34357
sas
jumu
CG31457
mRRF2
ALiX
TyrRII
Rpt2
CG6569
Srr
Syx18
disp
CG3739
bb8
CG6912
CG31174
NSD
CG1103
lbl
WASp
GCC88
PH4alphaEFB
CG2224
CG13622
Elp1
Bub3
mfas
Esp
E(spl)m5-HLH
gish
CG3397
CG33191
Naa40
CG9471
Afti
Rlip
CG6567
Rb97D
jus
CG1910
shams
Cad99C
Hsp70Ab
CG9743
asl
Ravus
CG14864
CG33920
CG6791
ETHR
PIG-S
CG42232
Gycbeta100B
Tsp86D
CG34027
CG11983
CG11563
CG10280
p53
beta-Man
Not10
CHKov1
tsl
tnc
CG31028
Prosbeta2R2
Fkbp39
CG14721
cal1
Tpc1
plh
CG7156
CG4374
CG6276
CG12290
CG5180
Dhod
MtnE
CG31195
14-3-3epsilon
djl
CG15535
CG7789
CG11836
POLDIP2
Snmp1
CG43175
Pdhb
cDIP
VhaPPA1-1
PQBP1
CG34347
Kat60
CRMP
mod
CG8507
CG5359
Fer1HCH
scpr-A
RpS30
CG11964
CCAP-R
rdx
srl
yellow-e3
CG7900
ea
CG8149
CG5281
CG6028
CG14262
CG6204
Trm7-34
Atg6
CG1896
ninaE
CG7126
CG31301
CLS
CG13605
CG18547
DppIII
CG31278
Gyc88E
asun
spz
Hph
COX5A
grsm
Sar1
mrt
CG6142
Hat1
Sdr
Nup133
CG4462
CG46042
CG42814
CG12818
CG31522
Osi17
Polr2L
fzo
CG33203
CG3995
CG42542
CG17734
Regnase-1
CG9855
CG13857
thw
IKKbeta
CG42795
Alg9
CycB3
CG10126
Best1
CG5510
CG11977
CG5214
CG3348
CG2747
CG12880
RanBP3
CG9698
E(spl)malpha-BFM
CG44158
Ms
Ect3
CG45076
CG4459
Mco3
ATPsynE
CG4367
CG5646
put
Mitofilin
wkd
CG34034
CG10375
GstZ2
hth
CG4424
Vha100-4
CG34008
CG6073
CG5913
CG5815
Epp
MP1
m-cup
CG4115
CG11790
dnd
pasi2
Itpr
Rad60
Prp18
srp
cd
cv-c
CG31279
mino
Fbxl7
Mettl4
CG5038
zfh1
CG18249
AdSL
RpL4
CycC
Snr1
CG13654
trx
CG31551
TMEM216
alpha-Man-IIb
Polr2G
Pp1alpha-96A
TFAM
Rassf
wat
mira
CG11828
Ubc87F
mRpL1
Pus1
Nagk
CG14641
mura
CG5611
CG1129
M1BP
Ace
CG1172
BRWD3
CAH8
Zaf1
p38c
CG45105
CG33189
CG15497
CG6059
Ask1
CG9386
D1
nau
side-IV
CG14868
CG7080
Cow
Mesh1
Sgsh
CG8132
AP-2sigma
dmt
SIDL
fray
CG9616
Manf
p
CG45049
CG31360
yellow-f
CG31125
CG8630
Usp12-46
CG5116
CG14903
Kmn2
faf
Ho
Naa80
repo
CG1890
CG17271
CG7084
CG10175
Septin2
St2
CG11970
Ir100a
Ssl2
CG4390
PolA1
eEF1alpha2
CG43694
GstD2
Atg14
CG10053
Mlc2
CG6790
BOD1
CG16710
CG5377
smp-30
mil
NK7.1
wrd
MTA1-like
Rga
aqz
Patr-1
lqfR
Ugt302K1
Cyp12a4
wtrw
ranshi
pinta
MED6
CG2100
heph
l(3)87Df
Rheb
CG8526
CG3534
Rlb1
pins
Takl1
Alg1
CG1774
GluProRS
mgr
Nepl15
Dhfr
gukh
CG1227
CG9393
Fancl
MtnF
CG3581
Pak
EloA
GlnRS
Lnk
Rm62
CG4511
ouib
TfIIFalpha
CG4572
sr
GatA
ssh
loco
Sox100B
htt
Pif1A
Calx
Blm
CG5196
CG43273
CG10264
CG4702
Fer2LCH
CG6231
CG18764
ECSIT
CG42402
Nelf-A
TwdlS
CG12268
CG12054
CG5382
gro
TwdlM
Obp83ef
rod
CG14511
noi
CG31075
HHEX
CG34355
Tsc1
CG10011
EMC2B
CG44040
CSN5
tws
ClpX
WRNexo
CG11986
CG12173
CG42233
PIG-H
timeout
Dlip2
GATAe
ato
CG16789
Obp99a
Snap24
Ssdp
Dhc1
CG14322
CG11857
Obp83g
Cortactin
Rpn9
CG42390
CG2218
Arp5
CG11975
ps
CASK
CG9444
Suv3
Tim17b1
CG42327
TwdlW
CG8199
Atg16
bigmax
CG7950
CG14598
how
CG14715
lobo
Scr
Vps24
mtSSB
CG14646
mRpS33
orb
Osbp
CG10286
Task6
Vps37B
hyx
CG17929
CG1236
Vps16B
lmd
CG14551
hdly
MFS9
Npc2b
mRpL47
CG6800
Men
CG17230
Rbp4
CG4757
Sec13
Pak3
Kdm2
CG7988
CG1792
CG17187
Teh1
Atg4b
Dip-B
Gyc89Da
CG5746
Uros2
CG4009
CG31224
GABA-B-R2
CG2017
CG1965
Sry-delta
CG31036
CG42788
CG17726
CG6225
AdSS
sqz
nyo
pre-mod(mdg4)-AB
CG6254
MetRS-m
CG12279
CG12814
Hsp70Ba
CG14694
CG13643
red
CenB1A
CG11052
HEATR2
Art3
CG10068
Fadd
gfzf
asp
Nmnat
CG10864
hh
Map205
GstD7
CG2016
vret
MICU3
CG31102
CG17816
klg
CG33111
CG42489
jnj
Gcn2
Nlg4
mRpS10
CG6051
CG5270
CG12592
DCAF12
yellow-e2
CG15561
RNF220
CG6171
CG34375
CG43318
CG45050
CG12171
CG1024
CG11334
Adgf-D
CG14636
Orct
CG42394
CG34287
CG6607
CG7695
CG7963
smash
Ugt35C1
CG7702
Stat92E
Prx3
ca
euc
CG14356
CG17721
CG6574
pre-mod(mdg4)-L
Rift
CG2182
